epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5367,1.33611,2.86921,1.64364,0.57453,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,20.641,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64598,1.06035,1.3735,1.15073e-06,1.15073e-06,1.15073e-06
3,24.4778,1.16016,3.63359,1.5732,0.55956,0.85,0.85083,0.61618,1.66662,1.0611,1.37913,2.22292e-06,2.22292e-06,2.22292e-06
4,28.1608,1.27764,2.74083,1.38881,0.56026,0.85,0.84952,0.61586,1.66068,1.05359,1.3779,3.21657e-06,3.21657e-06,3.21657e-06
5,31.9236,1.37238,3.0893,1.72672,0.56524,0.85,0.85526,0.63771,1.65914,1.04098,1.37156,4.13168e-06,4.13168e-06,4.13168e-06
6,35.6696,1.56278,4.11873,1.96546,0.54417,0.85,0.8936,0.63826,1.68671,1.05947,1.37812,4.96825e-06,4.96825e-06,4.96825e-06
7,39.3919,1.14299,1.91888,1.42244,0.53987,0.852,0.89406,0.64297,1.68515,1.05903,1.37748,5.72628e-06,5.72628e-06,5.72628e-06
8,43.2039,1.37186,4.02701,1.61414,0.54996,0.86018,0.85911,0.61257,1.64408,1.05765,1.35292,6.40577e-06,6.40577e-06,6.40577e-06
9,46.9388,1.12711,2.7288,1.41686,0.56938,0.86424,0.81826,0.6116,1.66618,1.05942,1.36357,7.00672e-06,7.00672e-06,7.00672e-06
10,50.7053,1.18664,3.49428,1.59594,0.58073,0.86435,0.81412,0.59541,1.66111,1.06096,1.35763,7.52913e-06,7.52913e-06,7.52913e-06
11,54.5137,1.22109,2.51535,1.46115,0.59048,0.86447,0.85595,0.63692,1.66137,1.0654,1.35809,7.973e-06,7.973e-06,7.973e-06
12,58.3286,1.00098,2.06581,1.37263,0.58934,0.86285,0.85562,0.63774,1.67159,1.07604,1.36613,8.33833e-06,8.33833e-06,8.33833e-06
13,62.1343,0.88499,2.31664,1.14219,0.59137,0.86667,0.85489,0.63766,1.65839,1.07056,1.35868,8.62512e-06,8.62512e-06,8.62512e-06
14,65.9113,1.1344,2.24466,1.53194,0.607,0.86667,0.88825,0.64393,1.66277,1.09556,1.36197,8.83337e-06,8.83337e-06,8.83337e-06
15,69.7293,0.98584,1.75085,1.15183,0.61285,0.86667,0.88272,0.64286,1.66707,1.10476,1.36562,8.96308e-06,8.96308e-06,8.96308e-06
16,73.9095,1.22872,2.60002,1.63231,0.78127,0.65,0.87537,0.64341,1.6818,1.12686,1.37677,9.01425e-06,9.01425e-06,9.01425e-06
17,78.3757,0.91504,1.95026,1.2592,0.77182,0.65,0.87124,0.64259,1.68563,1.13806,1.38179,8.98688e-06,8.98688e-06,8.98688e-06
18,82.993,1.21227,1.71916,1.38766,0.77182,0.65,0.87124,0.64259,1.68563,1.13806,1.38179,8.88097e-06,8.88097e-06,8.88097e-06
19,87.5722,1.06418,2.0691,1.18157,0.7636,0.65,0.85569,0.63955,1.70682,1.18153,1.39983,8.69652e-06,8.69652e-06,8.69652e-06
20,91.3381,0.97161,1.74078,1.24075,0.7636,0.65,0.85569,0.63955,1.70682,1.18153,1.39983,8.43353e-06,8.43353e-06,8.43353e-06
21,95.2118,0.82868,1.33613,1.19727,0.75418,0.65,0.85558,0.6297,1.72023,1.22167,1.41206,8.092e-06,8.092e-06,8.092e-06
22,99.13,0.7131,1.20623,1.14851,0.75418,0.65,0.85558,0.6297,1.72023,1.22167,1.41206,7.67193e-06,7.67193e-06,7.67193e-06
23,102.889,1.06322,1.75561,1.48274,0.7343,0.65,0.85531,0.62599,1.68013,1.23666,1.39325,7.17332e-06,7.17332e-06,7.17332e-06
24,106.53,0.86996,1.16941,1.10959,0.7343,0.65,0.85531,0.62599,1.68013,1.23666,1.39325,6.59617e-06,6.59617e-06,6.59617e-06
25,110.249,0.78624,1.22576,1.09841,0.66892,0.68333,0.85317,0.62583,1.67033,1.22957,1.39448,5.94048e-06,5.94048e-06,5.94048e-06
26,113.876,0.71977,1.12023,1.09462,0.66892,0.68333,0.85317,0.62583,1.67033,1.22957,1.39448,5.20625e-06,5.20625e-06,5.20625e-06
27,117.57,0.73094,1.09098,1.027,0.67634,0.68333,0.85407,0.62644,1.66873,1.24828,1.39171,4.39348e-06,4.39348e-06,4.39348e-06
28,121.203,0.62762,1.10098,1.04886,0.67634,0.68333,0.85407,0.62644,1.66873,1.24828,1.39171,3.50217e-06,3.50217e-06,3.50217e-06
29,124.984,1.13777,2.17893,1.6245,0.67906,0.6857,0.85362,0.62524,1.66244,1.28322,1.38878,2.53232e-06,2.53232e-06,2.53232e-06
30,128.643,0.69783,1.19548,1.15927,0.67906,0.6857,0.85362,0.62524,1.66244,1.28322,1.38878,1.48393e-06,1.48393e-06,1.48393e-06
